Node ID,Cluster,validation_methods,advantages,updated_at,description,name,usage_in_paper,created_at,original_source,limitations,type,key_innovations
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:207,2,['Experimental evaluation on MoE workloads.'],['Improved communication efficiency.'],,A two-dimensional hierarchical version of the All-to-All technique.,2DH All-to-All,,2025-03-12T07:55:17.965000000+00:00,,['Requires careful implementation.'],communication_technique,['Improves communication efficiency in MoE.']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:208,2,['Experimental evaluation on MoE workloads.'],['Improved encoding and decoding efficiency.'],,A method for efficient encoding and decoding of expert outputs.,Fast encode/decode,,2025-03-12T07:55:17.965000000+00:00,,['Requires careful implementation.'],encoding_technique,['Improves encoding and decoding efficiency.']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:209,2,,,,A sparse architecture that employs multiple parallel sub-models called experts.,Sparsely-gated Mixture-of-Experts (MoE),Base architecture for TUTEL,2025-03-12T07:55:17.973000000+00:00,"Shazeer et al., 2017",,framework,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:220,14,[],"['Accelerates inference without retraining or architecture changes', 'Maintains identical outputs']",,A method to sample from autoregressive models faster without any changes to the outputs,Speculative Decoding,,2025-03-12T07:55:58.539000000+00:00,,[],inference_method,"['Observation that some subtasks can be approximated well by more efficient models', 'Use of speculative execution and a novel sampling method']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:221,14,,,,Large autoregressive models,Transformers,Target model for acceleration,2025-03-12T07:55:58.546000000+00:00,Vaswani et al. (2017),,model,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:222,14,,,,A type of model used for predicting the next token in a sequence,Autoregressive models,Target of speculative decoding method,2025-03-12T07:55:58.546000000+00:00,General machine learning concept,,class,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:240,21,[],['Improved context length extension'],,A technique that employs a training process inspired by contrastive learning,Focused Transformer (FOT),,2025-03-12T07:57:50.648000000+00:00,,['Risk of distraction issue'],architecture,['Enhanced context length limitation']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:241,21,,,,A training process inspired by self-supervised learning,Contrastive Learning,Inspired the contrastive learning process used in FOT,2025-03-12T07:57:50.653000000+00:00,"""Ho et al. (2020)""",,method,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:244,22,[],"['Develops general-purpose knowledge', 'Improves performance on downstream tasks']",,Pre-training a model on a data-rich task to develop general-purpose abilities and knowledge that can be transferred to downstream tasks,Transfer Learning,,2025-03-12T07:58:44.583000000+00:00,,[],technique,"['Pre-training on a large dataset', 'Fine-tuning on a downstream task after pre-training']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:245,22,[],"['Can be used for multiple language understanding tasks', 'Achieves state-of-the-art results on many benchmarks']",,A unified text-to-text transformer framework that converts all text-based language problems into a text-to-text format,Text-to-Text Transformer,,2025-03-12T07:58:44.583000000+00:00,,[],architecture,"['Unified framework for text-based language problems', 'Uses attention-based models']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:272,23,['Extensive experiments'],"['Ensures fairness in serving LLM requests', 'Achieves a tight upper bound on the service difference between two backlogged clients']",,A fair scheduler based on the continuous batching mechanism,VTC,,2025-03-12T08:01:12.991000000+00:00,,[],Scheduling Algorithm,"['Accounts for the number of input and output tokens processed', 'Introduces the concept of virtual tokens']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:273,23,,,,Simple and widely used scheduling discipline,FCFS,Referenced as a baseline for comparison,2025-03-12T08:01:12.996000000+00:00,Not explicitly mentioned,,Scheduling Discipline,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:286,9,['Experimental evaluation on MT-bench and code completion tasks'],"['Improved decoding efficiency', 'More parallelizable on single or multiple modern accelerators', 'Compatible with concurrent memory-efficient attention']",,"Exact, parallel decoding algorithm that accelerates LLM decoding",LOOKAHEAD DECODING,,2025-03-12T08:02:56.385000000+00:00,,"['Requires careful tuning of hyperparameters', 'May not achieve significant speedups on all tasks']",decoding_algorithm,"['Exact and parallel decoding without using auxiliary models or data stores', 'Trading per-step log(FLOPs) to reduce the number of total decoding steps']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:287,9,,,,Generates text based on one token at a time,Autoregressive decoding,Referenced as inefficient and memory bandwidth bounded,2025-03-12T08:02:56.391000000+00:00,Large language models (LLMs) textbooks,,decoding_method,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:288,9,,,,Uses a draft model to speculate subsequent tokens and then verifies them in parallel,Speculative decoding,Referenced as a method for accelerating LLM decoding,2025-03-12T08:02:56.391000000+00:00,"Speculative Decoding (Chen et al., 2023)",,decoding_method,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:289,9,,,,Improved attention mechanism for parallelizing attention computation,Concurrent memory-efficient attention,Compatible with LOOKAHEAD DECODING,2025-03-12T08:02:56.391000000+00:00,FlashAttention (Open-source),,attention_mechanism,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:299,15,['Experimental evaluation'],"['High throughput', 'High utilization']",,A flexible spatial-temporal multiplexing system for efficient multiple LLM serving,MuxServe,,2025-03-12T08:04:38.211000000+00:00,,[],system,"['Colocation of LLMs', 'Predeployment based on frequency rankings', 'Adaptive batch scheduling strategy']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:300,15,,,,Allocating separate groups of GPUs for each LLM to accommodate their large model size and the key-value cache,Spatial Partitioning,Compared to MuxServe,2025-03-12T08:04:38.216000000+00:00,"Huggingface, 2023; NVIDIA, 2023a; Kwon et al., 2023",,approach,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:301,15,,,,Phases in LLM serving where memory resources can be multiplexed,Prefill and Decoding Phases,MuxServe leverages the characteristics of prefill and decoding phases,2025-03-12T08:04:38.216000000+00:00,Not mentioned,,concept,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:313,24,,['Improves end-to-end performance of LLM-based applications'],,Efficient serving of LLM-based applications,Parrot,,2025-03-12T08:05:58.324000000+00:00,,,system,['Introduces Semantic Variable abstraction']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:317,24,,,,Systems that provide LLM-based APIs,Public LLM services,Used as foundation for Parrot,2025-03-12T08:05:58.331000000+00:00,Various Public LLM service papers,,system,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:323,25,['Experimental evaluation'],"['Competitive performance on image, video, and speech recognition tasks']",,A model for input and output safety.,Llama Guard 3,,2025-03-12T08:07:11.401000000+00:00,,['Still under development'],foundation_model,['Integrated safety features']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:324,25,['Experimental evaluation'],"['Competitive performance on image, video, and speech recognition tasks']",,"A method for integrating image, video, and speech capabilities into Llama 3.",Compositional Approach,,2025-03-12T08:07:11.401000000+00:00,,['Still under development'],method,['Modular architecture']
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:321,26,['Experimental evaluation'],['Comparable quality to leading language models such as GPT-4'],,"A new set of foundation models that natively support multilinguality, coding, reasoning, and tool usage.",Llama 3,,2025-03-12T08:07:11.401000000+00:00,,['Still under development'],foundation_model,"['Multilinguality', 'Coding', 'Reasoning', 'Tool usage']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:325,26,,,,"General models of language, vision, speech, and/or other modalities that are designed to support a large variety of AI tasks.",Foundation Models,Used as a comparison for Llama 3,2025-03-12T08:07:11.407000000+00:00,Not specified,,concept,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:322,27,['Experimental evaluation'],['Comparable quality to leading language models such as GPT-4'],,A specific model in the Llama 3 herd.,Llama 3.1,,2025-03-12T08:07:11.401000000+00:00,,['Still under development'],foundation_model,"['Improved data quality and quantity', 'Careful pre-processing and curation pipelines']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:326,27,,,,Two-stage process for training foundation models.,Pre-training and Post-training,Used to explain Llama 3 development process,2025-03-12T08:07:11.407000000+00:00,Not specified,,concept,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:334,16,['Comprehensive experiments in dense and sparse architectures'],"['Stabilizes training', 'Enhances performance, particularly in LLMs']",,A hybrid normalization strategy that integrates advantages of Pre-Norm and Post-Norm approaches,HybridNorm,,2025-03-12T08:07:38.904000000+00:00,,[],normalization_strategy,"['Employing QKV normalization within attention mechanism and Post-Norm in feed-forward network (FFN)', 'Combining benefits of both Pre-Norm and Post-Norm approaches']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:335,16,,,,Normalization strategy used in Pre-Norm structures,Pre-Norm,Used in training due to easier training,2025-03-12T08:07:38.907000000+00:00,"Layer Normalization (Ba et al., 2016)",,normalization_approach,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:336,16,,,,Normalization strategy used in Post-Norm structures,Post-Norm,Achieved better performance compared to Pre-Norm,2025-03-12T08:07:38.907000000+00:00,"Layer Normalization (Ba et al., 2016)",,normalization_approach,
